Designator,Layer,Ref-X(Mil),Ref-Y(Mil),Rotation

"ANT1","Top","3220","3805","0"
"C1","Bottom","4795","4765","90"
"C2","Bottom","5120","4720","90"
"C3","Bottom","4255","4340","0"
"C4","Bottom","5055","4345","180"
"C5","Bottom","4270","4475","180"
"C6","Bottom","4770","3930","180"
"C7","Bottom","4565","4735","90"
"C8","Bottom","5085","4225","180"
"C9","Bottom","3535","2510","180"
"C10","Bottom","3865","2440","180"
"C11","Top","3355","5680","22.5"
"C12","Top","2335","4745.001","67.5"
"C13","Top","2310","3350","112.5"
"C14","Top","3260","2340","157.5"
"C15","Top","4650","2315","202.5"
"C16","Top","5640","3260","247.5"
"C17","Top","4745","5650","0"
"C18","Top","5690","4645","270"
"C19","Bottom","3575","3565","270"
"C20","Bottom","2610","3615","180"
"C21","Top","2610","3650","180"
"C22","Bottom","2470","4072.599","90"
"C23","Bottom","2555","3670","90"
"C24","Bottom","2786.811","4063.189","270"
"C25","Bottom","2825","3885.789","180"
"C26","Bottom","2825","3925","180"
"C27","Bottom","2865","3805","180"
"C28","Bottom","2885","3750","90"
"C29","Bottom","3480","4965","90"
"C30","Bottom","3180","5015","270"
"C31","Bottom","3515","4790","270"
"C32","Bottom","2990","4725","180"
"C33","Bottom","3460","4825","180"
"C34","Bottom","2928","4823","0"
"C35","Bottom","3505","4450","90"
"C36","Bottom","3288","4374","90"
"C37","Bottom","3258","4374","90"
"C38","Bottom","3295","4265","180"
"C39","Bottom","3466","4369","270"
"C40","Bottom","3129","4369","270"
"C41","Bottom","3300","4210","0"
"C42","Bottom","2862","4750","270"
"C43","Bottom","3402","4335","180"
"C44","Bottom","3194","4336","0"
"C45","Bottom","5155","4220","90"
"C46","Bottom","4250","5515","270"
"C47","Bottom","4205","2410","90"
"C48","Bottom","4175","2410","90"
"C49","Bottom","2985","4500","180"
"D1","Top","4364","2764","0"
"D2","Top","4364","2604","0"
"D3","Top","4364","2524","0"
"D4","Bottom","3340","2650","180"
"D5","Bottom","4450","2634","180"
"D6","Bottom","4355","2771","0"
"D7","Bottom","4451","2684","180"
"D8","Top","3740","2490","79.1"
"D9","Top","3690","2500","79.1"
"D10","Top","4065","4095","180"
"D11","Top","4065","3905","0"
"D12","Top","3935","4095","180"
"D13","Top","3935","3905","0"
"D14","Top","3850","4000","90"
"D15","Top","4748","2875","0"
"D16","Top","4988","3045","72"
"D17","Top","4897","3326","144"
"D18","Top","4603","3326","216"
"D19","Top","4512","3047","288"
"D20","Top","3994","2875","0"
"D21","Top","4238","3050","72"
"D22","Top","4147","3329","144"
"D23","Top","3853","3329","216"
"D24","Top","3762","3050","288"
"D25","Top","3248","2875","0"
"D26","Top","4364","2684","0"
"D27","Top","3488","3047","72"
"D28","Top","3397","3326","144"
"D29","Top","3103","3326","216"
"D30","Top","3018","3025","288"
"F1","Bottom","3550","2625","270"
"H1","Bottom","2000","6000","180"
"H2","Top","2000","6000","0"
"H3","Bottom","6000","2000","180"
"H4","Top","6000","2000","0"
"H5","Top","3275","3870","270"
"IR0","Bottom","3333","5611","292.5"
"IR1","Bottom","2390","4670","337.5"
"IR2","Bottom","2389","3333","22.5"
"IR3","Bottom","3333","2389","67.5"
"IR4","Bottom","4667","2389","112.5"
"IR5","Bottom","5611","3333","157.5"
"IR6","Bottom","5611","4667","202.5"
"IR7","Bottom","4667","5611","247.5"
"J1","Top","5311","3408","245"
"J2","Top","2917","2799","0"
"J3","Top","3685","2335","79.1"
"J4","Bottom","4000","5270","270"
"J5","Top","5083","2799","180"
"J6","Top","4885","5465","270"
"J7","Top","2475","4270","0"
"J8","Top","2917","5201","0"
"J9","Top","5083","5201","0"
"J10","Top","5500","4000","90"
"J11","Bottom","3418","5206","270"
"L1","Bottom","3470","2725","90"
"L2","Bottom","2730","3825","270"
"L3","Bottom","2790","3805","0"
"L4","Bottom","2765","3865","90"
"L5","Bottom","3565","4460","90"
"L6","Bottom","2580","3565","180"
"Q1","Bottom","3977","4001","180"
"Q2","Bottom","2975","4630","270"
"R1","Bottom","2515","4300","90"
"R2","Bottom","2335","4295","90"
"R3","Bottom","5100","4460","180"
"R4","Bottom","4680","3905","180"
"R5","Bottom","4455","2585","180"
"R6","Bottom","4785","5105","270"
"R7","Bottom","5383","3709","90"
"R8","Bottom","5428","3709","90"
"R9","Bottom","5473","3709","90"
"R10","Bottom","5518","3709","90"
"R11","Bottom","5565","3710","90"
"R12","Bottom","4355","2530","180"
"R13","Bottom","4170","2285","0"
"R14","Bottom","3625","2535","90"
"R15","Bottom","4355","2634","0"
"R16","Bottom","3750","2500","90"
"R17","Bottom","3700","2500","90"
"R18","Bottom","4356","2684","0"
"R19","Bottom","4450","2771","180"
"R20","Top","3855","5870","180"
"R21","Top","2630","5205","270"
"R22","Top","2245","3915","0"
"R23","Top","2990","2580","0"
"R24","Top","4135","2130","0"
"R25","Top","5320","2830","135"
"R26","Top","5865","4135","135"
"R27","Top","5245","5175","270"
"R28","Bottom","3935","3855","180"
"R29","Bottom","4065","4145","0"
"R30","Bottom","4065","3855","180"
"R31","Bottom","3935","4145","0"
"R32","Bottom","3895","4050","180"
"R33","Bottom","4082","4001","90"
"R34","Bottom","3355","3555","180"
"R35","Bottom","3662","3543","180"
"R36","Bottom","2650","5100","270"
"R37","Bottom","2520","5020","90"
"R38","Top","5400","5130","180"
"R39","Bottom","5480","5020","270"
"R40","Bottom","2695","3010","90"
"R41","Bottom","2520","2980","90"
"R42","Bottom","5020","3955","180"
"R43","Bottom","5480","2980","90"
"R44","Top","3240","2979","0"
"R45","Top","4000","2980","0"
"R46","Top","4750","2984","0"
"R47","Top","2685","3655","90"
"R48","Bottom","2640","3950","0"
"R49","Bottom","3319","4872","0"
"R50","Bottom","2815","4750","90"
"R51","Bottom","2880","4600","90"
"R52","Bottom","3430","4261","270"
"R53","Bottom","3175","4255","270"
"R54","Bottom","3330","4370","270"
"R55","Bottom","3400","4390","0"
"R56","Bottom","3385","4175","90"
"R57","Bottom","3194","4389","180"
"R58","Bottom","4245","2410","270"
"R59","Bottom","4135","2410","270"
"R60","Bottom","3225","4175","90"
"R63","Bottom","5120","4285","180"
"R64","Bottom","4450","4915","270"
"R65","Bottom","3585","3715","0"
"R66","Bottom","3585","3665","0"
"R67","Bottom","2435","3865","180"
"SW1","Top","4435","2265","104"
"SW2","Top","3250","3124","0"
"SW3","Top","4000","3127","0"
"SW4","Top","4750","3124","0"
"T0","Bottom","4000","5872","270"
"T1","Bottom","2677","5323","315"
"T2","Bottom","2128","4000","0"
"T3","Bottom","2677","2677","45"
"T4","Bottom","4000","2128","90"
"T5","Bottom","5323","2677","135"
"T6","Bottom","5872","4000","180"
"T7","Bottom","5323","5323","225"
"T_1","Top","4400","5675","90"
"T_FL1","Top","2570","5090","90"
"T_FR1","Top","5625","4935","90"
"T_GND1","Top","4170","5675","90"
"T_IR1","Top","3185","5515","90"
"T_IR2","Top","4860","2455","90"
"T_PWM1","Top","4433","4516","90"
"T_PWM2","Top","4433","4441","90"
"T_QEI1","Top","3890","4510","90"
"T_QEI2","Top","4154","4515","90"
"T_RST1","Top","5370","3170","0"
"T_RX1","Top","5315","3105","90"
"T_SW_R1","Top","5170","3120","90"
"T_T1","Top","3745","5870","90"
"T_T2","Top","4225","2260","90"
"T_TX1","Top","5245","3055","90"
"T_VBAT1","Top","4870","5255","90"
"U1","Bottom","4661","4321","0"
"U2","Bottom","4591","5118","180"
"U3","Bottom","3990","2640","0"
"U4","Bottom","4810","3585","0"
"U5","Bottom","3604","3382","180"
"U6","Bottom","2605","3818.189","0"
"U7","Bottom","3298","4634","0"
"U8","Bottom","2990","4350","90"
"U9","Bottom","2918","4753","270"
"XTAL1","Bottom","4960","4785","0"
"XTAL2","Bottom","2630","4068.189","0"
"XTAL3","Bottom","3330","4990","180"
